ss,id,IPAddress,StartDate,EndDate,MID,study,confirmation_code,Age,Gender,Edu,SES,1.111,threaten,attitudes,value,like,connected,Al-IW1-1,Al-IW1-2,1.112,Al-IW2-1,Al-IW2-2,threat,attitude,value,like,connected,1.121,threaten,attitude,value,like,connected,Alha-II1-1,Alha-II1-2,1.122,Alha-II2-1,Alha-II2-2,threat,attitude,value,like,connected,2.211,threat,attitude,value,like,connected,Dan-DW1-1,Dan-DW1-2,2.212,Dan-DW2-1,Dan-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-DI1-1,DANY-DI1-2,2.222,DANY-DI2-1,DANY-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DW1-1,HAR-DW1-2,3.212,HAR-DW2-1,HAR-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DI1-1,HAR-DI1-2,3.222,HAR-DI2-1,HAR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEF-IW1-1,JEF-IW1-2,4.112,JEF-IW2-1,JEF-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAF-II1-1,JF-II1-2,4.122,JAF-II2-1,JAF-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-IW1-1,CHAD-IW1-2,5.112,CHAD-IW2-1,CHAD-IW2-2,THREAT,ATTITUDE,VALUE,LIKE ,CONNECTED,5.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-II1-1,CHAH-II1-2,5.122,CHAH-II2-1,CHAH-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-DW1-1,ADAM-DW1-2,6.212,ADAM-DW2-1,ADAM-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-DI1-1,ADNA-DI1-2,6.222,ADNA-DI2-1,ADNA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,AL-DW1-1,AL-DW1-2,1.212,AL-DW2-1,AL-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,Alha-D-I-1,Alha-D-I-2,1.222,ALHA-DI2-1,ALHA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DAN-IW1-1,DAN-IW1-2,2.112,DAN-IW2-1,DAN-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-II1-1,DANY-II1-2,2.122,DANY-II2-1,DANY-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-IW1-1,HAR-IW1-2,3.112,HAR-IW2-1,HAR-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-II1-1,HAR-II1-2,3.122,HAR-II2-1,HAR-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEFF-DW1-1,JEF-DW1-2,4.212,JEFF-DW2-1,JEFF-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAFR-DI1-1,JAFR-DI1-2,4.222,JAFR-DI2-1,JAFR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-DW1-1,CHAD-DW1-2,5.212,CHAD-DW2-1,CHAD-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-DI1-1,CHAH-DI1-2,5.222,CHAH-DI2-1,CHAH-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-IW1-1,ADAM-IW1-2,6.112,ADAM-IW2-1,ADAM-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-II1-1,ADNA-II1-2,6.122,ADNA-II2-1,ADNA-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude,eth_ss,vignette.condition.eth.order,VIGNETTE,VIGNETTE_NAME,COND,COND_NAME,ETH_COND,ETH_COND_NAME,ORDER,THREAT,ATTITUDE,value,like,connected,IDENTIFICATION,ts_forced,TS_FORCED_RECODE,TS_SCALE
1127,R_2ONqL0zrKzTsm65,96.8.190.144,1/22/16 19:26,1/22/16 19:28,ABNNX9AKIRYJ7,Julian_2,20891755,29,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,6,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,5.111,5,minorities,1,improvement,1,white,1,1,5,5,6,7,6,1,1,7
1128,R_3ERMDhftRs5K6zl,73.188.61.168,1/22/16 19:25,1/22/16 19:29,A3VSTR6PNLHSWJ,Julian_2,53382574,28,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,6.221,6,police,2,deterioration,2,immigrant,1,1,5,7,5,5,5.666666667,2,0,4
1129,R_27fjL6CJ7PIE6do,73.164.97.84,1/22/16 19:21,1/22/16 19:25,AUIHQT506BGSX,Julian_2,99799172,35,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,8,9,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,4.221,4,alcohol,2,deterioration,2,immigrant,1,2,7,8,9,8,8.333333333,2,0,1
1130,R_2zbRmBckXxXU6ZD,172.58.136.5,1/22/16 19:30,1/22/16 19:33,A1Z9510ON62X4X,Julian_2,44427172,33,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,1,5,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,1,5.222,5,minorities,2,deterioration,2,immigrant,2,1,5,7,7,5,6.333333333,2,0,4
1131,R_VOo4Cbvq4S35CH7,156.111.216.153,1/22/16 19:31,1/22/16 19:33,A38M7I0K33U5OA,Julian_2,71752140,33,2,7,6,1,5,6,5,5,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,1,1,1,6,1.111,1,dad,1,improvement,1,white,1,5,6,5,5,5,5,2,0,6
1132,R_1MKbfavwqHOpXRO,66.244.109.200,1/22/16 19:36,1/22/16 19:41,A151YYPR4EYZDP,Julian_2,79978958,52,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,6,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,1.212,1,dad,2,deterioration,1,white,2,6,4,4,4,1,3,2,0,1
1133,R_1Eg8sa1FMpM0uaM,72.178.150.97,1/22/16 19:37,1/22/16 19:42,A2KYD7BWH9EJM7,Julian_2,88706262,51,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,5,5,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,2.112,2,terr,1,improvement,1,white,2,5,5,7,7,7,7,1,1,9
1134,R_eRujqc6DBqxNRa9,128.6.37.189,1/22/16 19:36,1/22/16 19:38,A1TPYOTLNCENWH,Julian_2,95695669,21,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,5,2,3,1,3,3.221,3,biz,2,deterioration,2,immigrant,1,1,5,5,5,5,5,1,1,7
1135,R_3nNqcQ9d3TYwaga,67.197.53.231,1/25/16 14:18,1/25/16 14:19,A1T83SZBP2DN65,Julian_2,27239936,34,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,7,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,1,2.122,2,terr,1,improvement,2,immigrant,2,6,7,8,8,5,7,2,0,5
1136,R_2RPN602veWeY88o,98.26.27.205,1/25/16 14:18,1/25/16 14:20,AXFMSXZS08O5K,Julian_2,18426637,25,1,5,5,,,,,,,,,,,,,,,,,1,1,6,6,6,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,3,1.121,1,dad,1,improvement,2,immigrant,1,1,6,6,6,4,5.333333333,2,0,6
1137,R_1q7AHnaYFRszWwG,173.60.189.85,1/25/16 14:18,1/25/16 14:20,A1A8L6LU8E2YOA,Julian_2,30876931,26,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,9,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,2,0,1,1,2,1.122,1,dad,1,improvement,2,immigrant,2,1,9,9,9,5,7.666666667,1,1,7
1138,R_9XokyjVT2m3f1Cx,108.250.164.22,1/25/16 14:18,1/25/16 14:21,A2BBG6PH07WLQ7,Julian_2,16508827,31,1,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,1,8,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,3.122,3,biz,1,improvement,2,immigrant,2,1,8,8,8,7,7.666666667,1,1,8
1139,R_Z8kq0bVFOnVcShb,73.236.124.235,1/25/16 14:18,1/25/16 14:21,A34SCRE20A7XV5,Julian_2,35534245,47,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,6.222,6,police,2,deterioration,2,immigrant,2,3,5,5,5,3,4.333333333,2,0,3
1140,R_PRFzpD8yIz0OMmJ,162.229.10.224,1/25/16 14:19,1/25/16 14:21,A234BFY8K3WEIG,Julian_2,82455446,35,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,6,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i have read the instructions,0,6,1,1,0,6,5.112,5,minorities,1,improvement,1,white,2,6,2,2,2,2,2,1,1,7
1141,R_3j822qVXnh9DE6G,64.247.119.80,1/25/16 14:20,1/25/16 14:22,A27TJ5U1Z6PCHL,Julian_2,89152976,29,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,3,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,1,0,2,1,6,4.211,4,alcohol,2,deterioration,1,white,1,2,6,3,3,2,2.666666667,1,1,3
1142,R_1IHs0xGNmQZly9T,109.64.173.187,1/25/16 14:18,1/25/16 14:22,A3F1LJCNL6BW08,Julian_2,19413435,,2,6,7,,,,,,,,,1,1,7,1,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,1.112,1,dad,1,improvement,1,white,2,1,5,5,5,1,3.666666667,1,1,7
1143,R_3nxu2LJO0qTPT5B,68.11.135.117,1/25/16 14:20,1/25/16 14:22,A38534ADOQCUND,Julian_2,14435995,30,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,7,6,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,6.211,6,police,2,deterioration,1,white,1,3,7,7,6,7,6.666666667,2,0,5
1144,R_2uVXMxm4PWZauiR,4.28.190.66,1/25/16 14:19,1/25/16 14:22,A2EHV3G68CGEJP,Julian_2,18487341,42,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,6,7,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,1.211,1,dad,2,deterioration,1,white,1,2,8,6,7,7,6.666666667,2,0,2
1145,R_2VvviiGhE6scddA,75.183.35.196,1/25/16 14:20,1/25/16 14:22,A2IKSCWK5EOG79,Julian_2,83575404,34,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,6,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,2.111,2,terr,1,improvement,1,white,1,2,5,6,6,6,6,2,0,5
1146,R_3QDFf016a6GJhyK,173.21.62.176,1/25/16 14:18,1/25/16 14:22,A248P03SBIGVNH,Julian_2,44658150,25,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instruction,0,5,2,2,0,6,1.221,1,dad,2,deterioration,2,immigrant,1,2,3,4,5,4,4.333333333,2,0,4
1147,R_1QxX0DHEur1s6jw,73.233.16.52,1/25/16 14:19,1/25/16 14:22,A2N7NFUFHC4U0W,Julian_2,93731083,56,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,3,3.211,3,biz,2,deterioration,1,white,1,5,5,5,5,5,5,1,1,9
